"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"3/13/2020","9659882","1584058194","264780277409","2.5.13"
"3/14/2020","9666266","1584144579","263547250992","2.5.13"
"3/15/2020","9672738","1584230994","264087181078","2.5.13"
"3/16/2020","9679259","1584317361","264292869871","2.5.13"
"3/17/2020","9685748","1584403787","264532068240","2.5.13"
"3/18/2020","9692267","1584490174","265043861950","2.5.13"
"3/19/2020","9698781","1584576591","265238622306","2.5.13"
"3/20/2020","9705254","1584662991","265643840256","2.5.13"
"3/21/2020","9711704","1584749395","265961806241","2.5.13"
"3/22/2020","9718148","1584835778","266321203126","2.5.13"
"3/23/2020","9724447","1584922180","267014007361","2.5.13"
"3/24/2020","9730911","1585008586","266937073466","2.5.13"
"3/25/2020","9737246","1585094991","268618289757","2.5.13"
"3/26/2020","9743608","1585181383","267542281869","2.5.13"
"3/27/2020","9750097","1585267776","268006477561","2.5.13"
"3/28/2020","9756648","1585354186","269579109055","2.5.13"
"3/29/2020","9763135","1585440549","268658048392","2.5.13"
"3/30/2020","9769720","1585526997","268892386165","2.5.13"
"3/31/2020","9776164","1585613383","270642519335","2.5.13"
"4/1/2020","9782652","1585699788","269484321026","2.5.13"
"4/2/2020","9789192","1585786179","269838084431","2.5.13"
"4/3/2020","9795685","1585872538","270118420414","2.5.13"
"4/4/2020","9802210","1585958996","270551053923","2.5.13"
"4/5/2020","9808704","1586045389","270714062905","2.5.13"
"4/6/2020","9815205","1586131769","272408726181","2.5.13"
"4/7/2020","9821632","1586218153","271432977090","2.5.13"
"4/8/2020","9828201","1586304593","271689986620","2.5.13"
"4/9/2020","9834697","1586390966","272137801951","2.5.13"
"4/10/2020","9841173","1586477391","272608773963","2.5.13"
"4/11/2020","9847685","1586563765","272869959712","2.5.13"
"4/12/2020","9854104","1586650188","273246735381","2.5.13"
"4/13/2020","9860682","1586736585","273588074986","2.5.13"
"4/14/2020","9867187","1586822997","273880693974","2.5.13"
"4/15/2020","9873678","1586909368","274282681599","2.5.13"
"4/16/2020","9880178","1586995797","274636465785","2.5.13"
"4/17/2020","9886637","1587082199","274871450740","2.5.13"
"4/18/2020","9893081","1587168577","275286357902","2.5.13"
"4/19/2020","9899528","1587254965","275533935709","2.5.13"
"4/20/2020","9906016","1587341371","275980329808","2.5.13"
"4/21/2020","9912501","1587427777","276300129657","2.5.13"
"4/22/2020","9918944","1587514198","276705777478","2.5.13"
"4/23/2020","9925420","1587600573","276950869848","2.5.13"
"4/24/2020","9931878","1587686978","277341970490","2.5.13"
"4/25/2020","9938351","1587773350","277735625859","2.5.13"
"4/26/2020","9944771","1587859749","279684594746","2.5.13"
"4/27/2020","9951236","1587946187","278369556863","2.5.13"
"4/28/2020","9957689","1588032584","278758966038","2.5.13"
"4/29/2020","9964105","1588118961","279077632672","2.5.13"
"4/30/2020","9970628","1588205388","279484883495","2.5.13"
"5/1/2020","9977003","1588291770","279914801758","2.5.13"
"5/2/2020","9983473","1588378165","280257272477","2.5.13"
"5/3/2020","9989954","1588464576","280680006439","2.5.13"
"5/4/2020","9996381","1588550985","280903572790","2.5.13"
"5/5/2020","10002905","1588637397","281330575763","2.5.13"
"5/6/2020","10009415","1588723796","281606776653","2.5.13"
"5/7/2020","10015824","1588810175","282038543919","2.5.13"
"5/8/2020","10022258","1588896570","284000878105","2.5.13"
"5/9/2020","10028751","1588982973","284091188253","2.5.13"
"5/10/2020","10035144","1589069400","284942729439","2.5.13"
"5/11/2020","10041647","1589155799","283945822127","2.5.13"
"5/12/2020","10048077","1589242185","284240299062","2.5.13"
"5/13/2020","10054474","1589328581","284490421511","2.5.13"
